Sex,Treatment,Account,Species,date,Likes,Block,Impression,Reach,biominal_right,proportion
M,M,TheFeathered_Life ,Indian Peafowl ,04.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Indian Peafowl ,04.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Indian Peafowl ,04.07.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Magnificient Frigatebird,04.07.2023,2,2,2,2,1,1
F,F,beak_beyond (F2),Magnificient Frigatebird,04.07.2023,2,2,2,2,1,1
F,E,Birds_near_you011,Magnificient Frigatebird,04.07.2023,2,2,2,2,1,1
M,M,plumageparadise,Blood pheasant ,04.07.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Blood pheasant ,04.07.2023,2,3,25,23,1,0.086956522
M,E,SkywardSquad ,Blood pheasant ,04.07.2023,1,3,1,1,1,1
M,M,Bird.NerdNation ,Reeve's pheasant ,04.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Reeve's pheasant ,04.07.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Reeve's pheasant ,04.07.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Blyth's paradise-flycatcher ,04.07.2023,2,5,2,2,1,1
F,F,_Avian_Adventures,Blyth's paradise-flycatcher ,04.07.2023,0,5,0,0,0,0
M,E,BeakandBeauty ,Blyth's paradise-flycatcher ,04.07.2023,2,5,2,2,1,1
M,M,TheFeathered_Life ,Northern Cardinal,07.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Northern Cardinal,07.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Northern Cardinal,07.07.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Red siskin ,07.07.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Red siskin ,07.07.2023,0,2,1,1,0,0
F,E,Birds_near_you011,Red siskin ,07.07.2023,0,2,1,1,0,0
F,F,_Feathered_Fotos,Asian Koel,07.07.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Asian Koel,07.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Dusky grouse ,07.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Dusky grouse ,07.07.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Dusky grouse ,07.07.2023,0,4,2,2,0,0
M,M,The_majestic_winged ,Superb Parrot,07.07.2023,0,5,1,1,0,0
F,F,_Avian_Adventures,Superb Parrot,07.07.2023,1,5,1,1,1,1
F,E,BeakandBeauty ,Superb Parrot,07.07.2023,1,5,1,1,1,1
M,M,TheFeathered_Life ,Westen Parotia,11.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Westen Parotia,11.07.2023,0,1,1,1,0,0
M,E,Chirp_Chronicles,Westen Parotia,11.07.2023,1,1,2,2,1,0.5
M,M,Winged_Wonderss,Anna's hummingbird ,11.07.2023,2,2,3,3,1,0.666666667
F,F,beak_beyond (F2),Anna's hummingbird ,11.07.2023,1,2,3,3,1,0.333333333
M,M,plumageparadise,Australian King Parrot ,11.07.2023,1,3,1,1,1,1
F,E,SkywardSquad ,Australian King Parrot ,11.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Wood duck ,11.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Wood duck ,11.07.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Wood duck ,11.07.2023,0,4,1,1,0,0
M,M,The_majestic_winged ,Reeve's pheasant ,11.07.2023,1,5,1,1,1,1
F,F,_Avian_Adventures,Reeve's pheasant ,11.07.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Reeve's pheasant ,11.07.2023,1,5,1,1,1,1
M,M,TheFeathered_Life ,Eastern Bluebird,14.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Eastern Bluebird,14.07.2023,1,1,1,1,1,1
F,E,Chirp_Chronicles,Eastern Bluebird,14.07.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Ruby-throated hummingbird ,14.07.2023,0,2,1,1,0,0
F,F,beak_beyond (F2),Ruby-throated hummingbird ,14.07.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Ruby-throated hummingbird ,14.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Westen Parotia,14.07.2023,0,3,1,1,0,0
F,F,_Feathered_Fotos,Westen Parotia,14.07.2023,0,3,1,1,0,0
M,E,SkywardSquad ,Westen Parotia,14.07.2023,1,3,2,2,1,0.5
M,M,Bird.NerdNation ,Andean Cock-of-the-rock,14.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Andean Cock-of-the-rock,14.07.2023,1,4,1,1,1,1
F,E,Feathered_wonder_ss,Andean Cock-of-the-rock,14.07.2023,0,4,1,1,0,0
M,M,The_majestic_winged ,Large Niltava ,14.07.2023,1,5,1,1,1,1
F,F,_Avian_Adventures,Large Niltava ,14.07.2023,1,5,1,1,1,1
M,E,BeakandBeauty ,Large Niltava ,14.07.2023,1,5,1,1,1,1
M,M,TheFeathered_Life ,Wild Turkey,18.07.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Wild Turkey,18.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Wild Turkey,18.07.2023,1,1,2,2,1,0.5
M,M,Winged_Wonderss,Blyth's paradise-flycatcher ,18.07.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Blyth's paradise-flycatcher ,18.07.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Blyth's paradise-flycatcher ,18.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Superb Fairywrens ,18.07.2023,1,3,1,1,1,1
F,F,_Feathered_Fotos,Superb Fairywrens ,18.07.2023,1,3,1,1,1,1
F,E,SkywardSquad ,Superb Fairywrens ,18.07.2023,0,3,0,0,0,0
F,F,Birding_bliss23,Long-tailed Widowbirds ,18.07.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Long-tailed Widowbirds ,18.07.2023,1,4,1,1,1,1
M,M,The_majestic_winged ,Kalij Pheasant,18.07.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Kalij Pheasant,18.07.2023,1,5,1,1,1,1
M,E,BeakandBeauty ,Kalij Pheasant,18.07.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Kalij Pheasant,21.07.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Kalij Pheasant,21.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Kalij Pheasant,21.07.2023,2,1,2,2,1,1
M,M,Winged_Wonderss,Northern Cardinal,21.07.2023,0,2,1,1,0,0
F,F,beak_beyond (F2),Northern Cardinal,21.07.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Northern Cardinal,21.07.2023,0,2,0,0,0,0
F,F,_Feathered_Fotos,Mandarin duck ,21.07.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Mandarin duck ,21.07.2023,3,3,3,3,1,1
M,M,Bird.NerdNation ,Superb Lyrebird ,21.07.2023,0,4,1,1,0,0
F,F,Birding_bliss23,Superb Lyrebird ,21.07.2023,0,4,1,1,0,0
F,E,Feathered_wonder_ss,Superb Lyrebird ,21.07.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Australian King Parrot ,21.07.2023,3,5,4,4,1,0.75
F,F,_Avian_Adventures,Australian King Parrot ,21.07.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Indian Paradise Flycatcher,25.07.2023,1,1,1,1,1,1
F,F,Feathered_Fables,Indian Paradise Flycatcher,25.07.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Indian Paradise Flycatcher,25.07.2023,0,1,1,1,0,0
F,E,Birds_near_you011,Long-tailed Widowbirds ,25.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Dusky grouse ,25.07.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Dusky grouse ,25.07.2023,1,3,1,1,1,1
M,E,SkywardSquad ,Dusky grouse ,25.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Kalij Pheasant,25.07.2023,1,4,1,1,1,1
F,F,Birding_bliss23,Kalij Pheasant,25.07.2023,0,4,1,1,0,0
F,E,Feathered_wonder_ss,Kalij Pheasant,25.07.2023,1,4,1,1,1,1
M,M,The_majestic_winged ,Superb Fairywrens ,25.07.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Superb Fairywrens ,25.07.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Magnificient Frigatebird,28.07.2023,0,1,1,1,0,0
F,F,Feathered_Fables,Magnificient Frigatebird,28.07.2023,1,1,2,2,1,0.5
M,E,Chirp_Chronicles,Magnificient Frigatebird,28.07.2023,1,1,2,2,1,0.5
M,M,Winged_Wonderss,Grandala ,28.07.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Grandala ,28.07.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Grandala ,28.07.2023,0,2,0,0,0,0
M,M,plumageparadise,Twelve-wired bird of Paradise ,28.07.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Twelve-wired bird of Paradise ,28.07.2023,0,3,0,0,0,0
M,E,SkywardSquad ,Twelve-wired bird of Paradise ,28.07.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Grandala ,28.07.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Grandala ,28.07.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Grandala ,28.07.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Blood pheasant ,28.07.2023,1,5,1,1,1,1
F,F,_Avian_Adventures,Blood pheasant ,28.07.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Blood pheasant ,28.07.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Ribbon-tailed astrapia,01.08.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Ribbon-tailed astrapia,01.08.2023,0,1,0,0,0,0
F,E,Chirp_Chronicles,Ribbon-tailed astrapia,01.08.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Indian Peafowl ,01.08.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Indian Peafowl ,01.08.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Indian Peafowl ,01.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Ruby-throated hummingbird ,01.08.2023,2,3,5,5,1,0.4
F,F,_Feathered_Fotos,Ruby-throated hummingbird ,01.08.2023,1,3,3,3,1,0.333333333
F,E,SkywardSquad ,Ruby-throated hummingbird ,01.08.2023,1,3,1,1,1,1
M,M,Bird.NerdNation ,House finch ,01.08.2023,0,4,1,1,0,0
F,F,Birding_bliss23,House finch ,01.08.2023,1,4,1,1,1,1
M,E,Feathered_wonder_ss,House finch ,01.08.2023,1,4,3,3,1,0.333333333
F,F,_Avian_Adventures,Twelve-wired bird of Paradise ,01.08.2023,0,5,0,0,0,0
M,E,BeakandBeauty ,Twelve-wired bird of Paradise ,01.08.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Australian King Parrot ,04.08.2023,0,1,1,1,0,0
F,F,Feathered_Fables,Australian King Parrot ,04.08.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Australian King Parrot ,04.08.2023,1,1,3,3,1,0.333333333
M,M,Winged_Wonderss,Helmeted Manakin ,04.08.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Helmeted Manakin ,04.08.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Helmeted Manakin ,04.08.2023,0,2,0,0,0,0
F,F,_Feathered_Fotos,Indian Paradise Flycatcher,04.08.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Indian Paradise Flycatcher,04.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Red crested pochard ,04.08.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Red crested pochard ,04.08.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Red crested pochard ,04.08.2023,0,4,1,1,0,0
M,M,The_majestic_winged ,Eclectus parrot,04.08.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Eclectus parrot,04.08.2023,2,5,2,2,1,1
M,E,BeakandBeauty ,Eclectus parrot,04.08.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Anna's hummingbird ,08.08.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Anna's hummingbird ,08.08.2023,1,1,1,1,1,1
F,E,Chirp_Chronicles,Anna's hummingbird ,08.08.2023,2,1,2,2,1,1
M,M,Winged_Wonderss,Indigo bunting ,08.08.2023,1,2,2,1,1,1
F,F,beak_beyond (F2),Indigo bunting ,08.08.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Indigo bunting ,08.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Mallard,08.08.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Mallard,08.08.2023,1,3,1,1,1,1
M,M,Bird.NerdNation ,Australian King Parrot ,08.08.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Australian King Parrot ,08.08.2023,1,4,3,3,1,0.333333333
M,M,The_majestic_winged ,Eastern Bluebird,08.08.2023,0,5,2,2,0,0
F,F,_Avian_Adventures,Eastern Bluebird,08.08.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Eastern Bluebird,08.08.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Mallard,11.08.2023,0,1,1,1,0,0
F,F,Feathered_Fables,Mallard,11.08.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Mallard,11.08.2023,1,1,1,1,1,1
M,M,Winged_Wonderss,Wild Turkey,11.08.2023,0,2,1,1,0,0
F,F,beak_beyond (F2),Wild Turkey,11.08.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Wild Turkey,11.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Northern Cardinal,11.08.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Northern Cardinal,11.08.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Northern Cardinal,11.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Crested partridge ,11.08.2023,1,4,1,1,1,1
F,F,Birding_bliss23,Crested partridge ,11.08.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Crested partridge ,11.08.2023,1,4,3,3,1,0.333333333
M,M,The_majestic_winged ,Superb Lyrebird ,11.08.2023,0,5,1,1,0,0
F,F,_Avian_Adventures,Superb Lyrebird ,11.08.2023,0,5,0,0,0,0
M,E,BeakandBeauty ,Superb Lyrebird ,11.08.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Painted spurfowl,15.08.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Painted spurfowl,15.08.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Painted spurfowl,15.08.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Blood pheasant ,15.08.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Blood pheasant ,15.08.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Blood pheasant ,15.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Hooded Parrot ,15.08.2023,2,3,3,3,1,0.666666667
F,F,_Feathered_Fotos,Hooded Parrot ,15.08.2023,0,3,0,0,0,0
M,E,SkywardSquad ,Hooded Parrot ,15.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Indian Paradise Flycatcher,15.08.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Indian Paradise Flycatcher,15.08.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Indian Paradise Flycatcher,15.08.2023,0,4,2,2,0,0
M,M,The_majestic_winged ,Indigo bunting ,15.08.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Indigo bunting ,15.08.2023,0,5,0,0,0,0
M,E,BeakandBeauty ,Indigo bunting ,15.08.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Red-backed fairywren,18.08.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Red-backed fairywren,18.08.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Red-backed fairywren,18.08.2023,1,1,1,1,1,1
M,M,Winged_Wonderss,Reeve's pheasant ,18.08.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Reeve's pheasant ,18.08.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Reeve's pheasant ,18.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Helmeted Manakin ,18.08.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Helmeted Manakin ,18.08.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Helmeted Manakin ,18.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Anna's hummingbird ,18.08.2023,0,4,1,1,0,0
F,F,Birding_bliss23,Anna's hummingbird ,18.08.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Anna's hummingbird ,18.08.2023,0,4,2,2,0,0
M,M,The_majestic_winged ,Purple-rumped Sunbird ,18.08.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Purple-rumped Sunbird ,18.08.2023,0,5,0,0,0,0
M,E,BeakandBeauty ,Purple-rumped Sunbird ,18.08.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,Eclectus parrot,22.08.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Eclectus parrot,22.08.2023,0,1,0,0,0,0
F,E,Chirp_Chronicles,Eclectus parrot,22.08.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Hooded Parrot ,22.08.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Hooded Parrot ,22.08.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Hooded Parrot ,22.08.2023,0,2,0,0,0,0
F,F,_Feathered_Fotos,Wild Turkey,22.08.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Wild Turkey,22.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Oriental magpie robin ,22.08.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Oriental magpie robin ,22.08.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Oriental magpie robin ,22.08.2023,1,4,2,2,1,0.5
M,M,TheFeathered_Life ,Black grouse,25.08.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Black grouse,25.08.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Black grouse,25.08.2023,0,1,2,2,0,0
M,M,Winged_Wonderss,Gang-gang Cockatoo ,25.08.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Gang-gang Cockatoo ,25.08.2023,1,2,1,1,1,1
M,E,Birds_near_you011,Gang-gang Cockatoo ,25.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Painted spurfowl,25.08.2023,0,3,1,1,0,0
F,F,_Feathered_Fotos,Painted spurfowl,25.08.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Painted spurfowl,25.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Westen Parotia,25.08.2023,0,4,13,13,0,0
F,F,Birding_bliss23,Westen Parotia,25.08.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Westen Parotia,25.08.2023,1,4,3,3,1,0.333333333
M,M,The_majestic_winged ,Indian Paradise Flycatcher,25.08.2023,0,5,1,1,0,0
F,F,_Avian_Adventures,Indian Paradise Flycatcher,25.08.2023,2,5,2,2,1,1
M,E,BeakandBeauty ,Indian Paradise Flycatcher,25.08.2023,0,5,0,0,0,0
F,F,Feathered_Fables,Painted bunting ,29.08.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Painted bunting ,29.08.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Ribbon-tailed astrapia,29.08.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Ribbon-tailed astrapia,29.08.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Ribbon-tailed astrapia,29.08.2023,0,2,0,0,0,0
M,M,plumageparadise,Anna's hummingbird ,29.08.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Anna's hummingbird ,29.08.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Black grouse,29.08.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Black grouse,29.08.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Black grouse,29.08.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Vermilion Flycatcher,29.08.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Vermilion Flycatcher,29.08.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Twelve-wired bird of Paradise ,01.09.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Twelve-wired bird of Paradise ,01.09.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Twelve-wired bird of Paradise ,01.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Painted spurfowl,01.09.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Painted spurfowl,01.09.2023,0,2,0,0,0,0
M,E,Birds_near_you011,Painted spurfowl,01.09.2023,0,2,0,0,0,0
M,M,plumageparadise,Red Jungle fowl,01.09.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Red Jungle fowl,01.09.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Red Jungle fowl,01.09.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Northern Cardinal,01.09.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Northern Cardinal,01.09.2023,0,4,0,0,0,0
M,M,The_majestic_winged ,Northern Cardinal,01.09.2023,0,5,1,1,0,0
F,F,_Avian_Adventures,Painted bunting ,01.09.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Northern Cardinal,01.09.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Asian Koel,05.09.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Asian Koel,05.09.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Asian Koel,05.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Eclectus parrot,05.09.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Eclectus parrot,05.09.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Eclectus parrot,05.09.2023,0,2,0,0,0,0
M,M,plumageparadise,Reeve's pheasant ,05.09.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Reeve's pheasant ,05.09.2023,0,3,0,0,0,0
F,E,SkywardSquad ,Reeve's pheasant ,05.09.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Blood pheasant ,05.09.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Blood pheasant ,05.09.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Blood pheasant ,05.09.2023,0,4,2,2,0,0
M,M,The_majestic_winged ,Painted bunting ,05.09.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,House finch ,05.09.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Painted bunting ,05.09.2023,0,5,1,1,0,0
M,M,TheFeathered_Life ,House finch ,08.09.2023,0,1,0,0,0,0
F,F,Feathered_Fables,House finch ,08.09.2023,0,1,0,0,0,0
F,E,Chirp_Chronicles,House finch ,08.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Painted bunting ,08.09.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Painted bunting ,08.09.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Painted bunting ,08.09.2023,0,2,0,0,0,0
M,M,Bird.NerdNation ,Blood pheasant ,08.09.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Blood pheasant ,08.09.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Blood pheasant ,08.09.2023,0,4,0,0,0,0
M,M,The_majestic_winged ,House finch ,08.09.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,House finch ,08.09.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,House finch ,08.09.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Gang-gang Cockatoo ,12.09.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Gang-gang Cockatoo ,12.09.2023,0,1,0,0,0,0
F,E,Chirp_Chronicles,Gang-gang Cockatoo ,12.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Australian King Parrot ,12.09.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Australian King Parrot ,12.09.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Australian King Parrot ,12.09.2023,0,2,0,0,0,0
M,M,plumageparadise,Indigo bunting ,12.09.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Indigo bunting ,12.09.2023,0,3,0,0,0,0
M,E,SkywardSquad ,Indigo bunting ,12.09.2023,0,3,1,1,0,0
M,M,Bird.NerdNation ,Vermilion Flycatcher,12.09.2023,1,4,2,2,1,0.5
F,F,Birding_bliss23,Vermilion Flycatcher,12.09.2023,0,4,1,1,0,0
M,E,Feathered_wonder_ss,Vermilion Flycatcher,12.09.2023,1,4,2,2,1,0.5
M,M,The_majestic_winged ,Red crested pochard ,12.09.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Red crested pochard ,12.09.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Red crested pochard ,12.09.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Wood duck ,15.09.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Wood duck ,15.09.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Wood duck ,15.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Dusky grouse ,15.09.2023,1,2,1,1,1,1
F,F,beak_beyond (F2),Dusky grouse ,15.09.2023,1,2,1,1,1,1
F,E,Birds_near_you011,Dusky grouse ,15.09.2023,1,2,1,1,1,1
F,F,_Feathered_Fotos,Andean Cock-of-the-rock,15.09.2023,0,3,0,0,0,0
M,E,SkywardSquad ,Andean Cock-of-the-rock,15.09.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Red-backed fairywren,15.09.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Red-backed fairywren,15.09.2023,0,4,0,0,0,0
M,E,Feathered_wonder_ss,Red-backed fairywren,15.09.2023,0,4,0,0,0,0
M,M,The_majestic_winged ,Helmeted Manakin ,15.09.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Helmeted Manakin ,15.09.2023,0,5,0,0,0,0
F,E,BeakandBeauty ,Helmeted Manakin ,15.09.2023,0,5,0,0,0,0
F,F,Feathered_Fables,Red siskin ,19.09.2023,0,1,0,0,0,0
M,E,Chirp_Chronicles,Red siskin ,19.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Red cheeked Parrot ,19.09.2023,0,2,0,0,0,0
F,F,beak_beyond (F2),Red cheeked Parrot ,19.09.2023,0,2,0,0,0,0
F,E,Birds_near_you011,Red cheeked Parrot ,19.09.2023,0,2,0,0,0,0
M,M,plumageparadise,Himalayan Monal ,19.09.2023,0,3,0,0,0,0
F,F,_Feathered_Fotos,Himalayan Monal ,19.09.2023,0,3,1,1,0,0
F,E,SkywardSquad ,Himalayan Monal ,19.09.2023,0,3,0,0,0,0
M,M,Bird.NerdNation ,Mallard,19.09.2023,0,4,0,0,0,0
F,F,Birding_bliss23,Mallard,19.09.2023,0,4,0,0,0,0
F,E,Feathered_wonder_ss,Mallard,19.09.2023,0,4,2,2,0,0
M,M,The_majestic_winged ,Asian Koel,19.09.2023,0,5,0,0,0,0
F,F,_Avian_Adventures,Asian Koel,19.09.2023,0,5,1,1,0,0
M,E,BeakandBeauty ,Asian Koel,19.09.2023,0,5,0,0,0,0
M,M,TheFeathered_Life ,Indigo bunting ,22.09.2023,0,1,0,0,0,0
F,F,Feathered_Fables,Indigo bunting ,22.09.2023,0,1,1,1,0,0
F,E,Chirp_Chronicles,Indigo bunting ,22.09.2023,0,1,1,1,0,0
M,M,Winged_Wonderss,Red crested pochard ,22.09.2023,0,2,0,0,0,0
